"日期",用户注册来源,订单来源,业务类别,订单地区,投诉原因,新增订单量,实际服务订单量,待服务订单量,取消订单量,被拒订单量,待服务订单已消耗天数,好评订单量,被投诉订单量,新增订单数量级别,半月分组,年,中国分组,到今天的差额（天）,hours
2014年10月1日,地推二维码扫描,Android APP,洗衣,武汉,无服务,18223.0,12630.0,3907.0,517.0,1169.0,4.0,8965.0,293.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,地推二维码扫描,微信公众号,按摩,广州,其他,25316.0,22627.0,1904.0,256.0,529.0,7.0,15446.0,564.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,地推二维码扫描,微信公众号,按摩,上海,其他,26730.0,21238.0,4152.0,544.0,796.0,6.0,12180.0,778.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,地推二维码扫描,微信公众号,按摩,深圳,无服务,16935.0,12962.0,2456.0,736.0,781.0,8.0,6572.0,292.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,地推二维码扫描,微信公众号,按摩,武汉,其他,28080.0,23415.0,3360.0,726.0,579.0,3.0,16563.0,628.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,地推二维码扫描,微信公众号,美甲,武汉,无服务,11849.0,11656.0,123.0,48.0,22.0,6.0,8247.0,233.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,地推二维码扫描,微信公众号,洗衣,长沙,服务者原因,10154.0,6120.0,3108.0,372.0,554.0,1.0,3933.0,166.0,高级组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,地推二维码扫描,微信公众号,洗衣,成都,服务者原因,20841.0,17898.0,1798.0,443.0,702.0,4.0,12048.0,251.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,地推二维码扫描,微信公众号,洗衣,成都,其他,20294.0,16121.0,3310.0,366.0,497.0,2.0,11139.0,346.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,地推二维码扫描,微信公众号,洗衣,杭州,服务者原因,17279.0,17224.0,44.0,6.0,5.0,8.0,11028.0,609.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,地推二维码扫描,微信公众号,洗衣,深圳,其他,28315.0,18339.0,6283.0,2201.0,1492.0,10.0,13448.0,326.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,地推二维码扫描,微信公众号,洗衣,深圳,无服务,17739.0,16876.0,673.0,119.0,71.0,6.0,12104.0,239.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,广告二维码,Android APP,按摩,北京,其他,26418.0,25462.0,738.0,86.0,132.0,5.0,16453.0,450.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,广告二维码,Android APP,按摩,深圳,服务者原因,26467.0,20323.0,4883.0,523.0,738.0,1.0,15861.0,291.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,广告二维码,Android APP,美甲,长沙,服务者原因,22437.0,14113.0,5528.0,1062.0,1734.0,4.0,8058.0,200.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,广告二维码,Android APP,洗衣,北京,无服务,19367.0,12684.0,4394.0,880.0,1409.0,10.0,7206.0,285.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,广告二维码,Android APP,洗衣,长沙,其他,18177.0,14798.0,2429.0,596.0,354.0,6.0,11172.0,312.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,广告二维码,Android APP,洗衣,成都,其他,10067.0,6228.0,3026.0,650.0,163.0,6.0,4453.0,106.0,高级组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,广告二维码,Android APP,洗衣,成都,其他,23154.0,21779.0,968.0,284.0,123.0,3.0,15708.0,203.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,广告二维码,Android APP,洗衣,杭州,无服务,16597.0,12615.0,3171.0,482.0,329.0,5.0,9104.0,206.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,广告二维码,Android APP,洗衣,上海,服务者原因,27398.0,19889.0,5262.0,1247.0,1000.0,10.0,10824.0,862.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,广告二维码,Android APP,洗衣,上海,其他,10092.0,8366.0,1193.0,348.0,185.0,10.0,6512.0,66.0,高级组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,广告二维码,Android APP,洗衣,上海,其他,25429.0,15281.0,7871.0,1246.0,1031.0,2.0,10613.0,432.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,广告二维码,Android APP,洗衣,深圳,其他,22760.0,18171.0,3053.0,948.0,588.0,9.0,10405.0,751.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,广告二维码,微信公众号,按摩,北京,无服务,15540.0,12689.0,2220.0,429.0,202.0,3.0,7620.0,193.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,广告二维码,微信公众号,按摩,杭州,服务者原因,29728.0,20397.0,6912.0,967.0,1452.0,5.0,15386.0,294.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,广告二维码,微信公众号,按摩,深圳,无服务,26873.0,26801.0,52.0,15.0,5.0,10.0,18656.0,717.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,广告二维码,微信公众号,按摩,武汉,其他,10271.0,8149.0,1426.0,357.0,339.0,3.0,6307.0,59.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,广告二维码,微信公众号,洗衣,北京,无服务,28818.0,23493.0,4078.0,909.0,338.0,4.0,16977.0,255.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,广告二维码,微信公众号,洗衣,长沙,其他,17638.0,13907.0,2253.0,1117.0,361.0,1.0,7368.0,238.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,广告二维码,微信公众号,洗衣,杭州,其他,20028.0,15047.0,3269.0,905.0,807.0,5.0,9325.0,387.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,微信朋友圈H5页面,Android APP,按摩,北京,无服务,14154.0,9386.0,3543.0,758.0,467.0,10.0,5211.0,276.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,微信朋友圈H5页面,Android APP,按摩,北京,无服务,15207.0,13783.0,937.0,348.0,139.0,2.0,7233.0,336.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,微信朋友圈H5页面,Android APP,按摩,成都,服务者原因,22296.0,17907.0,2635.0,761.0,993.0,5.0,10214.0,554.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,微信朋友圈H5页面,Android APP,洗衣,北京,无服务,22274.0,20294.0,1553.0,266.0,161.0,8.0,14221.0,217.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,微信朋友圈H5页面,Android APP,洗衣,成都,服务者原因,26614.0,23675.0,1798.0,672.0,469.0,4.0,11926.0,513.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,微信朋友圈H5页面,Android APP,洗衣,成都,其他,10177.0,8704.0,890.0,266.0,317.0,3.0,5010.0,231.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,微信朋友圈H5页面,Android APP,洗衣,成都,无服务,17136.0,15270.0,1412.0,228.0,226.0,2.0,8979.0,440.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,微信朋友圈H5页面,Android APP,洗衣,杭州,服务者原因,17817.0,17181.0,467.0,80.0,89.0,1.0,8692.0,483.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,微信朋友圈H5页面,Android APP,洗衣,武汉,服务者原因,15745.0,13579.0,1459.0,227.0,480.0,6.0,9181.0,234.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,微信朋友圈H5页面,微信公众号,按摩,北京,服务者原因,11728.0,7711.0,2531.0,681.0,805.0,4.0,5457.0,200.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,微信朋友圈H5页面,微信公众号,按摩,成都,其他,28608.0,19250.0,6505.0,1661.0,1192.0,4.0,13634.0,205.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,微信朋友圈H5页面,微信公众号,按摩,广州,服务者原因,19379.0,16385.0,2175.0,410.0,409.0,3.0,11597.0,254.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,微信朋友圈H5页面,微信公众号,按摩,深圳,无服务,20408.0,16481.0,3045.0,573.0,309.0,2.0,12961.0,217.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,微信朋友圈H5页面,微信公众号,洗衣,北京,其他,13234.0,8171.0,3785.0,966.0,312.0,8.0,6284.0,160.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,微信朋友圈H5页面,微信公众号,洗衣,北京,其他,29168.0,24553.0,3353.0,704.0,558.0,10.0,18665.0,478.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,微信朋友圈H5页面,微信公众号,洗衣,长沙,服务者原因,18859.0,14319.0,3100.0,1102.0,338.0,3.0,10375.0,352.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,微信朋友圈H5页面,微信公众号,洗衣,上海,服务者原因,28625.0,27249.0,1095.0,176.0,105.0,1.0,19796.0,319.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,微信朋友圈H5页面,微信公众号,洗衣,武汉,无服务,28654.0,21862.0,5174.0,1286.0,332.0,5.0,12377.0,887.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,应用商店,Android APP,按摩,北京,服务者原因,12300.0,12186.0,72.0,27.0,15.0,4.0,8705.0,320.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,应用商店,Android APP,按摩,北京,无服务,21299.0,20697.0,373.0,73.0,156.0,5.0,13563.0,553.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,应用商店,Android APP,按摩,上海,无服务,18361.0,14031.0,3419.0,653.0,258.0,5.0,8548.0,495.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,应用商店,Android APP,按摩,深圳,无服务,18734.0,15540.0,2487.0,284.0,423.0,10.0,11739.0,351.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,应用商店,Android APP,按摩,深圳,无服务,26757.0,18921.0,5773.0,1488.0,575.0,1.0,12875.0,450.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,应用商店,Android APP,保洁,武汉,服务者原因,15242.0,11786.0,2233.0,822.0,401.0,6.0,9235.0,117.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,应用商店,Android APP,洗衣,北京,服务者原因,28695.0,20626.0,5671.0,954.0,1444.0,8.0,10598.0,464.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,应用商店,Android APP,洗衣,北京,无服务,19841.0,18054.0,1365.0,186.0,236.0,4.0,12299.0,360.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,应用商店,Android APP,洗衣,长沙,无服务,23949.0,16463.0,5206.0,1160.0,1120.0,6.0,8409.0,318.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,应用商店,Android APP,洗衣,成都,其他,19711.0,18549.0,899.0,208.0,55.0,2.0,10902.0,490.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,应用商店,Android APP,洗衣,成都,其他,22340.0,18108.0,3134.0,536.0,562.0,7.0,14430.0,315.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,应用商店,Android APP,洗衣,上海,其他,10122.0,8205.0,1370.0,321.0,226.0,7.0,6053.0,113.0,高级组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,应用商店,微信公众号,按摩,北京,无服务,15659.0,11531.0,2759.0,840.0,529.0,5.0,8773.0,103.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,应用商店,微信公众号,按摩,长沙,无服务,20104.0,13023.0,4291.0,992.0,1798.0,9.0,9874.0,221.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,应用商店,微信公众号,按摩,杭州,其他,14305.0,14262.0,30.0,5.0,8.0,6.0,7547.0,407.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,应用商店,微信公众号,按摩,杭州,其他,16065.0,15083.0,604.0,271.0,107.0,6.0,10242.0,437.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,应用商店,微信公众号,按摩,深圳,无服务,12587.0,8093.0,3559.0,630.0,305.0,1.0,5898.0,130.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,应用商店,微信公众号,按摩,深圳,无服务,16062.0,13879.0,1545.0,366.0,272.0,4.0,8816.0,315.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,应用商店,微信公众号,保洁,长沙,服务者原因,14497.0,11368.0,2262.0,454.0,413.0,7.0,7231.0,247.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,应用商店,微信公众号,洗衣,北京,服务者原因,12407.0,10824.0,1196.0,209.0,178.0,7.0,8336.0,194.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,应用商店,微信公众号,洗衣,长沙,服务者原因,21939.0,16637.0,3683.0,734.0,885.0,4.0,8918.0,496.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,应用商店,微信公众号,洗衣,成都,其他,17825.0,17483.0,258.0,46.0,38.0,9.0,12115.0,356.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,应用商店,微信公众号,洗衣,武汉,其他,11755.0,9090.0,1813.0,326.0,526.0,3.0,7070.0,147.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,应用商店,微信公众号,洗衣,武汉,其他,11797.0,10397.0,847.0,201.0,352.0,2.0,5975.0,344.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,应用商店,微信公众号,洗衣,武汉,无服务,12388.0,11422.0,702.0,106.0,158.0,3.0,5820.0,474.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月2日,UC浏览器引流,Android APP,按摩,武汉,其他,18194.0,13165.0,4012.0,431.0,586.0,8.0,10467.0,122.0,其他分组,未分组,不合格,未分组项,426.0,0.0
2014年10月2日,UC浏览器引流,Android APP,按摩,武汉,无服务,10948.0,9920.0,685.0,274.0,69.0,1.0,6207.0,268.0,其他分组,未分组,不合格,未分组项,426.0,0.0
2014年10月2日,UC浏览器引流,Android APP,洗衣,北京,服务者原因,27812.0,21284.0,4350.0,814.0,1364.0,3.0,13137.0,311.0,其他分组,未分组,不合格,未分组项,426.0,0.0
2014年10月2日,UC浏览器引流,Android APP,洗衣,长沙,其他,21793.0,13319.0,5729.0,1288.0,1457.0,7.0,7514.0,225.0,其他分组,未分组,不合格,未分组项,426.0,0.0
2014年10月2日,UC浏览器引流,Android APP,洗衣,成都,服务者原因,11471.0,11212.0,176.0,57.0,26.0,3.0,5955.0,470.0,其他分组,未分组,不合格,未分组项,426.0,0.0
2014年10月2日,UC浏览器引流,Android APP,洗衣,杭州,服务者原因,23855.0,17567.0,3884.0,1863.0,541.0,9.0,11686.0,468.0,其他分组,未分组,不合格,未分组项,426.0,0.0
2014年10月2日,UC浏览器引流,Android APP,洗衣,上海,其他,29180.0,18275.0,7209.0,2242.0,1454.0,1.0,9362.0,282.0,其他分组,未分组,不合格,未分组项,426.0,0.0
2014年10月2日,UC浏览器引流,微信公众号,按摩,成都,其他,11751.0,8653.0,2176.0,456.0,466.0,2.0,6353.0,134.0,其他分组,未分组,不合格,未分组项,426.0,0.0
2014年10月2日,UC浏览器引流,微信公众号,按摩,深圳,服务者原因,12692.0,8917.0,2859.0,455.0,461.0,1.0,5790.0,278.0,其他分组,未分组,不合格,未分组项,426.0,0.0
2014年10月2日,UC浏览器引流,微信公众号,按摩,深圳,无服务,28735.0,27436.0,829.0,266.0,204.0,9.0,15897.0,738.0,其他分组,未分组,不合格,未分组项,426.0,0.0
2014年10月2日,UC浏览器引流,微信公众号,洗衣,北京,服务者原因,10417.0,7586.0,2105.0,278.0,448.0,5.0,5146.0,82.0,其他分组,未分组,不合格,未分组项,426.0,0.0
2014年10月2日,UC浏览器引流,微信公众号,洗衣,成都,服务者原因,10342.0,8394.0,1378.0,242.0,328.0,1.0,6291.0,125.0,其他分组,未分组,不合格,未分组项,426.0,0.0
2014年10月2日,UC浏览器引流,微信公众号,洗衣,广州,无服务,21233.0,18015.0,2376.0,346.0,496.0,7.0,13535.0,221.0,其他分组,未分组,不合格,未分组项,426.0,0.0
2014年10月2日,UC浏览器引流,微信公众号,洗衣,杭州,其他,10216.0,10037.0,118.0,45.0,16.0,4.0,6729.0,263.0,其他分组,未分组,不合格,未分组项,426.0,0.0
2014年10月2日,UC浏览器引流,微信公众号,洗衣,杭州,无服务,14670.0,10842.0,2910.0,559.0,359.0,6.0,7675.0,315.0,其他分组,未分组,不合格,未分组项,426.0,0.0
2014年10月2日,UC浏览器引流,微信公众号,洗衣,深圳,服务者原因,26200.0,18141.0,5667.0,1508.0,884.0,2.0,10519.0,415.0,其他分组,未分组,不合格,未分组项,426.0,0.0
2014年10月2日,UC浏览器引流,微信公众号,洗衣,深圳,其他,29229.0,26893.0,1449.0,636.0,251.0,7.0,16484.0,1028.0,其他分组,未分组,不合格,未分组项,426.0,0.0
2014年10月2日,地推二维码扫描,Android APP,按摩,广州,其他,28620.0,25470.0,2388.0,543.0,219.0,3.0,17933.0,532.0,其他分组,未分组,不合格,未分组项,426.0,0.0
2014年10月2日,地推二维码扫描,Android APP,按摩,广州,无服务,19726.0,12841.0,4649.0,1602.0,634.0,1.0,10024.0,195.0,其他分组,未分组,不合格,未分组项,426.0,0.0
2014年10月2日,地推二维码扫描,Android APP,按摩,杭州,服务者原因,15922.0,15670.0,178.0,41.0,33.0,6.0,10858.0,247.0,其他分组,未分组,不合格,未分组项,426.0,0.0
2014年10月2日,地推二维码扫描,Android APP,按摩,杭州,服务者原因,23500.0,23047.0,342.0,36.0,75.0,3.0,11635.0,547.0,其他分组,未分组,不合格,未分组项,426.0,0.0
2014年10月2日,地推二维码扫描,Android APP,按摩,杭州,无服务,20670.0,12534.0,5428.0,1939.0,769.0,5.0,6270.0,619.0,其他分组,未分组,不合格,未分组项,426.0,0.0
2014年10月2日,地推二维码扫描,Android APP,按摩,深圳,其他,19480.0,14086.0,3613.0,1136.0,645.0,8.0,7343.0,316.0,其他分组,未分组,不合格,未分组项,426.0,0.0
2014年10月2日,地推二维码扫描,Android APP,按摩,武汉,服务者原因,10213.0,6516.0,2620.0,682.0,395.0,2.0,3763.0,108.0,其他分组,未分组,不合格,未分组项,426.0,0.0
2014年10月2日,地推二维码扫描,Android APP,洗衣,北京,其他,15733.0,12783.0,2319.0,460.0,171.0,2.0,10135.0,220.0,其他分组,未分组,不合格,未分组项,426.0,0.0
2014年10月2日,地推二维码扫描,Android APP,洗衣,北京,其他,27180.0,22735.0,2803.0,896.0,746.0,3.0,11651.0,579.0,其他分组,未分组,不合格,未分组项,426.0,0.0
2014年10月2日,地推二维码扫描,Android APP,洗衣,成都,服务者原因,25059.0,16722.0,5923.0,1223.0,1191.0,6.0,11270.0,261.0,其他分组,未分组,不合格,未分组项,426.0,0.0
2014年10月2日,地推二维码扫描,Android APP,洗衣,广州,其他,27829.0,19330.0,5776.0,1566.0,1157.0,4.0,10492.0,309.0,其他分组,未分组,不合格,未分组项,426.0,0.0
2014年10月2日,地推二维码扫描,Android APP,洗衣,杭州,其他,10670.0,8467.0,1345.0,426.0,432.0,8.0,4848.0,249.0,其他分组,未分组,不合格,未分组项,426.0,0.0
2014年10月2日,地推二维码扫描,Android APP,洗衣,杭州,其他,15907.0,15408.0,380.0,42.0,77.0,7.0,8803.0,338.0,其他分组,未分组,不合格,未分组项,426.0,0.0
2014年10月2日,地推二维码扫描,Android APP,洗衣,深圳,无服务,12677.0,11059.0,1137.0,256.0,225.0,9.0,7056.0,141.0,其他分组,未分组,不合格,未分组项,426.0,0.0
2014年10月2日,地推二维码扫描,微信公众号,按摩,北京,无服务,19946.0,16385.0,2368.0,875.0,318.0,7.0,11236.0,509.0,其他分组,未分组,不合格,未分组项,426.0,0.0
2014年10月2日,地推二维码扫描,微信公众号,按摩,广州,服务者原因,25442.0,23615.0,1450.0,136.0,241.0,5.0,13720.0,574.0,其他分组,未分组,不合格,未分组项,426.0,0.0
2014年10月2日,地推二维码扫描,微信公众号,洗衣,北京,服务者原因,23054.0,16916.0,4801.0,950.0,387.0,8.0,10442.0,351.0,其他分组,未分组,不合格,未分组项,426.0,0.0
2014年10月2日,地推二维码扫描,微信公众号,洗衣,北京,其他,28597.0,22567.0,3668.0,880.0,1482.0,3.0,15698.0,335.0,其他分组,未分组,不合格,未分组项,426.0,0.0
2014年10月2日,地推二维码扫描,微信公众号,洗衣,长沙,服务者原因,15444.0,9479.0,4100.0,1127.0,738.0,5.0,4980.0,412.0,其他分组,未分组,不合格,未分组项,426.0,0.0
2014年10月2日,地推二维码扫描,微信公众号,洗衣,成都,服务者原因,27219.0,26886.0,246.0,60.0,27.0,8.0,18270.0,637.0,其他分组,未分组,不合格,未分组项,426.0,0.0
2014年10月2日,地推二维码扫描,微信公众号,洗衣,杭州,其他,14601.0,14287.0,236.0,35.0,43.0,4.0,9973.0,187.0,其他分组,未分组,不合格,未分组项,426.0,0.0
2014年10月2日,地推二维码扫描,微信公众号,洗衣,深圳,无服务,11259.0,7410.0,2874.0,660.0,315.0,8.0,3991.0,157.0,其他分组,未分组,不合格,未分组项,426.0,0.0
2014年10月2日,地推二维码扫描,微信公众号,洗衣,武汉,服务者原因,28294.0,24638.0,2708.0,661.0,287.0,7.0,13832.0,748.0,其他分组,未分组,不合格,未分组项,426.0,0.0
2014年10月2日,地推二维码扫描,微信公众号,洗衣,武汉,服务者原因,28397.0,26017.0,1788.0,424.0,168.0,6.0,14337.0,377.0,其他分组,未分组,不合格,未分组项,426.0,0.0
2014年10月2日,地推二维码扫描,微信公众号,洗衣,武汉,无服务,12711.0,9871.0,2164.0,323.0,353.0,1.0,7637.0,211.0,其他分组,未分组,不合格,未分组项,426.0,0.0
2014年10月2日,广告二维码,Android APP,按摩,杭州,服务者原因,20226.0,16690.0,2403.0,619.0,514.0,7.0,12159.0,383.0,其他分组,未分组,不合格,未分组项,426.0,0.0
2014年10月2日,广告二维码,Android APP,按摩,杭州,其他,18351.0,12691.0,4308.0,993.0,359.0,2.0,6378.0,316.0,其他分组,未分组,不合格,未分组项,426.0,0.0
